,memberID,date,amount
0,L101158,2022-02-04,561
1,L102049,2022-02-04,757
2,L101465,2022-02-04,992
3,L101464,2022-02-04,1062
4,L101463,2022-02-04,1006
5,L101462,2022-02-04,514
6,L101461,2022-02-04,705
7,L101460,2022-02-04,1301
8,L101459,2022-02-04,641
9,L101458,2022-02-04,342
10,L101457,2022-02-04,594
11,L101456,2022-02-04,1035
12,L101455,2022-02-04,1331
13,L101454,2022-02-04,576
14,L101453,2022-02-04,1299
15,L101452,2022-02-04,1456
16,L101451,2022-02-04,1323
17,L101450,2022-02-04,844
18,L102050,2022-02-04,822
19,L101449,2022-02-04,370
20,L101448,2022-02-04,882
22,L101447,2022-02-04,818
23,L100184,2022-02-04,1235
24,L101446,2022-02-04,948
25,L101445,2022-02-04,632
26,L101466,2022-02-04,1353
27,L101444,2022-02-04,802
28,L102048,2022-02-04,602
29,L101468,2022-02-04,430
30,L101711,2022-02-04,230
31,L102815,2022-02-04,1530
33,L101710,2022-02-04,830
34,L102047,2022-02-04,964
35,L102814,2022-02-04,896
36,L101709,2022-02-04,825
37,L101485,2022-02-04,1470
38,L101484,2022-02-04,1262
39,L101483,2022-02-04,758
40,L101482,2022-02-04,1551
41,L101481,2022-02-04,1539
42,L101480,2022-02-04,1260
43,L101479,2022-02-04,739
44,L101478,2022-02-04,2023
45,L101477,2022-02-04,418
46,L101476,2022-02-04,1015
47,L101475,2022-02-04,779
48,L101474,2022-02-04,360
49,L101473,2022-02-04,1259
50,L101472,2022-02-04,148
52,L101471,2022-02-04,671
53,L101470,2022-02-04,985
54,L101469,2022-02-04,982
55,L101467,2022-02-04,862
56,L101443,2022-02-04,196
57,L101442,2022-02-04,1296
58,L100183,2022-02-04,1105
59,L101135,2022-02-04,622
60,L100178,2022-02-04,1537
61,L101134,2022-02-04,682
62,L101133,2022-02-04,566
63,L103245,2022-02-04,1022
64,L103246,2022-02-04,1087
65,L103247,2022-02-04,473
66,L103248,2022-02-04,1611
67,L100177,2022-02-04,1110
68,L103249,2022-02-04,421
69,L100176,2022-02-04,481
70,L100536,2022-02-04,1468
71,L102039,2022-02-04,822
72,L100537,2022-02-04,924
73,L103251,2022-02-04,1296
74,L100538,2022-02-04,1241
75,L100175,2022-02-04,461
76,L103252,2022-02-04,1077
77,L100539,2022-02-04,1303
78,L103253,2022-02-04,1959
79,L100540,2022-02-04,1392
80,L100174,2022-02-04,1026
81,L100541,2022-02-04,761
82,L100173,2022-02-04,1124
83,L100542,2022-02-04,572
84,L101136,2022-02-04,1194
85,L101137,2022-02-04,1168
86,L101138,2022-02-04,1660
87,L101139,2022-02-04,1374
88,L101441,2022-02-04,1239
89,L101440,2022-02-04,831
90,L101160,2022-02-04,1419
91,L101159,2022-02-04,1228
92,L100182,2022-02-04,1734
93,L100181,2022-02-04,801
94,L101157,2022-02-04,39
95,L101156,2022-02-04,933
96,L101155,2022-02-04,918
97,L101154,2022-02-04,953
98,L101153,2022-02-04,753
99,L101152,2022-02-04,516
100,L101712,2022-02-04,417
101,L100180,2022-02-04,1491
102,L101150,2022-02-04,1506
103,L101149,2022-02-04,1191
104,L101148,2022-02-04,636
105,L100179,2022-02-04,1212
106,L101147,2022-02-04,581
107,L101146,2022-02-04,1092
108,L101145,2022-02-04,422
109,L101144,2022-02-04,878
110,L101143,2022-02-04,1108
111,L101142,2022-02-04,543
112,L101141,2022-02-04,751
113,L101140,2022-02-04,1052
114,L101151,2022-02-04,533
115,L100543,2022-02-04,413
116,L101713,2022-02-04,1064
117,L102816,2022-02-04,287
118,L102025,2022-02-04,573
119,L102359,2022-02-04,465
120,L102024,2022-02-04,568
121,L102023,2022-02-04,331
122,L102360,2022-02-04,706
123,L102361,2022-02-04,1528
124,L102022,2022-02-04,545
125,L102021,2022-02-04,622
126,L102362,2022-02-04,1158
127,L102020,2022-02-04,945
128,L102363,2022-02-04,342
129,L102364,2022-02-04,1461
130,L102345,2022-02-04,626
131,L102019,2022-02-04,367
132,L102018,2022-02-04,756
133,L102017,2022-02-04,788
134,L102016,2022-02-04,460
135,L102365,2022-02-04,626
136,L102044,2022-02-04,983
137,L102344,2022-02-04,593
138,L102015,2022-02-04,809
139,L102343,2022-02-04,538
140,L102014,2022-02-04,1083
141,L102013,2022-02-04,123
142,L102366,2022-02-04,714
143,L102358,2022-02-04,1299
144,L102342,2022-02-04,1310
145,L102357,2022-02-04,820
146,L102026,2022-02-04,1763
147,L102349,2022-02-04,1020
148,L102041,2022-02-04,1281
149,L102350,2022-02-04,393
150,L102038,2022-02-04,1052
151,L102351,2022-02-04,463
152,L102348,2022-02-04,754
153,L102352,2022-02-04,387
154,L102042,2022-02-04,659
155,L102043,2022-02-04,1228
156,L102037,2022-02-04,1050
157,L102036,2022-02-04,1072
158,L102353,2022-02-04,1195
159,L102035,2022-02-04,407
160,L102034,2022-02-04,1326
161,L102033,2022-02-04,596
162,L102032,2022-02-04,626
163,L102031,2022-02-04,1574
164,L102354,2022-02-04,1106
165,L102030,2022-02-04,681
166,L102355,2022-02-04,1317
167,L102347,2022-02-04,506
168,L102346,2022-02-04,796
169,L102029,2022-02-04,514
170,L102028,2022-02-04,1037
171,L102027,2022-02-04,1442
172,L102356,2022-02-04,763
173,L102012,2022-02-04,1227
174,L102341,2022-02-04,1067
175,L101746,2022-02-04,850
176,L102045,2022-02-04,1084
177,L101729,2022-02-04,143
178,L102821,2022-02-04,110
179,L101728,2022-02-04,189
180,L102820,2022-02-04,1442
181,L101727,2022-02-04,1362
182,L101726,2022-02-04,213
183,L102819,2022-02-04,1188
184,L102340,2022-02-04,1620
185,L101725,2022-02-04,712
186,L101724,2022-02-04,1495
187,L102339,2022-02-04,1525
188,L101723,2022-02-04,1206
189,L102818,2022-02-04,821
190,L101722,2022-02-04,1173
191,L101721,2022-02-04,1049
192,L101720,2022-02-04,1004
193,L102817,2022-02-04,846
195,L101719,2022-02-04,1024
196,L101718,2022-02-04,680
197,L101717,2022-02-04,285
198,L101716,2022-02-04,744
199,L101715,2022-02-04,689
200,L102046,2022-02-04,1056
201,L101730,2022-02-04,1205
202,L102822,2022-02-04,604
203,L101731,2022-02-04,1196
204,L102823,2022-02-04,665
205,L101745,2022-02-04,945
206,L101744,2022-02-04,975
207,L102367,2022-02-04,1761
208,L101743,2022-02-04,1246
209,L101742,2022-02-04,1462
210,L101741,2022-02-04,1167
211,L102368,2022-02-04,1213
212,L101740,2022-02-04,726
213,L102369,2022-02-04,1202
214,L102370,2022-02-04,1056
215,L102371,2022-02-04,577
216,L102372,2022-02-04,677
217,L101714,2022-02-04,436
218,L102373,2022-02-04,1051
219,L102375,2022-02-04,1481
220,L102376,2022-02-04,448
221,L102377,2022-02-04,405
222,L101739,2022-02-04,1104
223,L101738,2022-02-04,1434
224,L101737,2022-02-04,1022
225,L101736,2022-02-04,971
226,L101735,2022-02-04,860
227,L102378,2022-02-04,604
228,L101734,2022-02-04,441
229,L101733,2022-02-04,843
230,L101732,2022-02-04,1225
231,L102374,2022-02-04,224
232,L100544,2022-02-04,1516
233,L103250,2022-02-04,1242
234,L102624,2022-02-04,1161
235,L102166,2022-02-04,272
236,L103470,2022-02-04,985
237,L102167,2022-02-04,418
238,L103274,2022-02-04,482
239,L100591,2022-02-04,637
240,L100592,2022-02-04,1147
241,L102168,2022-02-04,419
242,L103275,2022-02-04,460
243,L103276,2022-02-04,1139
244,L100833,2022-02-04,999
245,L102169,2022-02-04,439
246,L100832,2022-02-04,1063
247,L103471,2022-02-04,864
248,L102170,2022-02-04,971
249,L100831,2022-02-04,914
250,L100830,2022-02-04,688
251,L103472,2022-02-04,865
252,L103473,2022-02-04,747
253,L102171,2022-02-04,1486
254,L100829,2022-02-04,1325
255,L100828,2022-02-04,565
256,L100827,2022-02-04,901
257,L100826,2022-02-04,563
258,L100825,2022-02-04,1079
259,L100824,2022-02-04,1098
260,L100590,2022-02-04,928
261,L100589,2022-02-04,1422
262,L100588,2022-02-04,829
263,L100587,2022-02-04,325
264,L102645,2022-02-04,989
265,L102160,2022-02-04,188
266,L100583,2022-02-04,593
267,L102161,2022-02-04,851
268,L100584,2022-02-04,1335
269,L102162,2022-02-04,1100
270,L102646,2022-02-04,834
271,L102163,2022-02-04,721
272,L103462,2022-02-04,1293
273,L102647,2022-02-04,665
274,L100545,2022-02-04,1450
275,L103271,2022-02-04,554
276,L100823,2022-02-04,1055
277,L103463,2022-02-04,996
278,L103465,2022-02-04,1065
279,L100585,2022-02-04,807
280,L102165,2022-02-04,664
281,L102648,2022-02-04,777
282,L102649,2022-02-04,866
283,L103466,2022-02-04,1355
284,L103467,2022-02-04,864
285,L103468,2022-02-04,759
286,L103272,2022-02-04,196
287,L103469,2022-02-04,1135
288,L103273,2022-02-04,765
289,L100586,2022-02-04,1009
290,L103464,2022-02-04,633
291,L100582,2022-02-04,878
292,L100822,2022-02-04,305
293,L100821,2022-02-04,631
294,L103288,2022-02-04,1145
295,L102175,2022-02-04,307
296,L103479,2022-02-04,1382
297,L103480,2022-02-04,1391
298,L103303,2022-02-04,1263
299,L103289,2022-02-04,1227
300,L103290,2022-02-04,1233
301,L103291,2022-02-04,580
302,L103292,2022-02-04,933
303,L102176,2022-02-04,999
304,L103293,2022-02-04,1175
305,L102177,2022-02-04,1193
306,L103302,2022-02-04,1022
307,L103294,2022-02-04,746
308,L103481,2022-02-04,1084
309,L103295,2022-02-04,970
310,L103296,2022-02-04,876
